,Gender.F,Zone.1,Zone.2,Zone.3,Zone.4,Zone.5,Zone.6,Class.1,Class.2,Class.3,Class.4,Class.5,Class.6,BonusClass.1,BonusClass.2,BonusClass.3,BonusClass.4,BonusClass.5,BonusClass.6,OwnersAge,VehiculeAge,Duration,NumberClaims,ClaimFrequency
55783,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.539473684210526,0.202020202020202,0.9589040000000001,0,0.0
23863,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.289473684210526,0.131313131313131,1.0,0,0.0
2841,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0789473684210526,0.0505050505050505,0.079452,1,12.5862155767004
11478,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.157894736842105,0.0101010101010101,0.5041100000000001,0,0.0
48105,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.47368421052631604,0.0101010101010101,0.493151,0,0.0
64342,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8026315789473679,0.0202020202020202,0.49588999999999994,0,0.0
15685,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.197368421052632,0.131313131313131,0.254795,0,0.0
9509,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.131578947368421,0.0202020202020202,0.00274,0,0.0
8533,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.131578947368421,0.15151515151515196,0.989041,0,0.0
34978,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.381578947368421,0.15151515151515196,1.4,0,0.0
42563,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.434210526315789,0.0202020202020202,2.084932,1,0.47963194962713396
17092,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.21052631578947398,0.0303030303030303,0.49863,0,0.0
12651,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.157894736842105,0.0808080808080808,0.25205500000000003,0,0.0
8931,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.131578947368421,0.17171717171717202,2.4219180000000002,0,0.0
23908,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.302631578947368,0.131313131313131,0.227397,0,0.0
9643,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.144736842105263,0.111111111111111,0.931507,0,0.0
40589,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.421052631578947,0.0505050505050505,0.44383599999999995,0,0.0
49839,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4868421052631579,0.0909090909090909,1.9178080000000002,0,0.0
25053,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.315789473684211,0.717171717171717,0.246575,0,0.0
28992,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.34210526315789497,0.141414141414141,3.2082189999999997,0,0.0
913,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0394736842105263,0.0606060606060606,0.331507,0,0.0
60355,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.592105263157895,0.17171717171717202,1.446575,0,0.0
16190,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.197368421052632,0.101010101010101,1.0,0,0.0
9035,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.131578947368421,0.101010101010101,0.835616,0,0.0
9830,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.144736842105263,0.0707070707070707,0.446575,0,0.0
9677,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.144736842105263,0.12121212121212101,0.860274,0,0.0
999,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0394736842105263,0.0202020202020202,0.931507,0,0.0
36282,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.39473684210526294,0.18181818181818202,0.00274,0,0.0
42001,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.434210526315789,0.0404040404040404,0.178082,0,0.0
8498,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.131578947368421,0.0505050505050505,0.306849,0,0.0
53039,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.513157894736842,0.131313131313131,0.454795,0,0.0
18659,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.223684210526316,0.484848484848485,0.00274,0,0.0
44388,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.447368421052632,0.0808080808080808,1.0,0,0.0
62333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6447368421052629,0.0303030303030303,0.035616,0,0.0
21953,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.263157894736842,0.17171717171717202,1.49863,0,0.0
53975,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.513157894736842,0.0404040404040404,1.0,0,0.0
44105,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.447368421052632,0.0202020202020202,0.49863,0,0.0
43746,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.434210526315789,0.686868686868687,1.0,0,0.0
25160,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.315789473684211,0.12121212121212101,0.46301400000000004,0,0.0
57280,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5526315789473679,0.131313131313131,0.70411,0,0.0
9634,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.144736842105263,0.0303030303030303,1.0684930000000001,0,0.0
10473,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.144736842105263,0.0505050505050505,0.9561639999999999,0,0.0
53833,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.513157894736842,0.3737373737373739,1.0,0,0.0
31122,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.35526315789473706,0.0909090909090909,1.0,0,0.0
44126,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.447368421052632,0.18181818181818202,1.663014,0,0.0
4648,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0921052631578947,0.101010101010101,1.361644,0,0.0
21531,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.263157894736842,0.0202020202020202,1.287671,0,0.0
10493,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.144736842105263,0.141414141414141,1.0,0,0.0
8544,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.131578947368421,0.0202020202020202,0.353425,0,0.0
29378,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.34210526315789497,0.161616161616162,0.9205479999999999,0,0.0
53116,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.513157894736842,0.0404040404040404,1.0,0,0.0
50242,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4868421052631579,0.131313131313131,0.471233,0,0.0
61920,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.17171717171717202,3.419178,0,0.0
34260,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.381578947368421,0.0101010101010101,0.928767,0,0.0
43510,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.434210526315789,0.12121212121212101,1.791781,0,0.0
47407,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.460526315789474,0.0909090909090909,0.526027,0,0.0
58194,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5657894736842111,0.111111111111111,0.720548,0,0.0
56112,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.539473684210526,0.15151515151515196,0.49588999999999994,0,0.0
20075,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.23684210526315802,0.15151515151515196,1.00274,0,0.0
63379,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6842105263157889,0.12121212121212101,0.47671199999999997,0,0.0
43451,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.434210526315789,0.24242424242424201,1.0,0,0.0
36899,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.39473684210526294,0.202020202020202,1.936986,0,0.0
55425,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.526315789473684,0.161616161616162,1.50137,0,0.0
6076,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.10526315789473699,0.141414141414141,0.12876700000000002,0,0.0
6547,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.11842105263157901,0.15151515151515196,0.9369860000000001,0,0.0
19447,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.23684210526315802,0.18181818181818202,0.430137,0,0.0
41214,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.421052631578947,0.0202020202020202,1.0,0,0.0
41089,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.421052631578947,0.202020202020202,0.715068,0,0.0
3469,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.0789473684210526,0.0202020202020202,1.0,0,0.0
57948,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5657894736842111,0.101010101010101,0.745205,0,0.0
23641,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.289473684210526,0.0404040404040404,1.0,0,0.0
8253,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.131578947368421,0.15151515151515196,0.572603,0,0.0
38776,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.40789473684210503,0.0202020202020202,2.9479450000000003,0,0.0
58952,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.578947368421053,0.0303030303030303,0.9945209999999999,0,0.0
62139,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.6447368421052629,0.696969696969697,1.0,0,0.0
27151,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.328947368421053,0.12121212121212101,0.23013699999999998,0,0.0
64264,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.7894736842105259,0.191919191919192,1.0,0,0.0
64109,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.75,0.18181818181818202,0.50137,0,0.0
239,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.0707070707070707,0.183562,1,5.44775062376745
27073,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.328947368421053,0.141414141414141,0.46301400000000004,0,0.0
15111,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.18421052631578896,0.141414141414141,1.0,0,0.0
60529,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6052631578947371,0.17171717171717202,0.00274,0,0.0
50995,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4868421052631579,0.0707070707070707,0.9123290000000001,0,0.0
45440,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.447368421052632,0.0,0.060274,0,0.0
57425,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5526315789473679,0.0,0.246575,0,0.0
24796,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.302631578947368,0.12121212121212101,0.180822,0,0.0
1166,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0394736842105263,0.202020202020202,0.750685,0,0.0
40932,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.421052631578947,0.17171717171717202,3.605479,0,0.0
16375,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.197368421052632,0.12121212121212101,1.956164,0,0.0
42923,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.434210526315789,0.202020202020202,1.0,0,0.0
41012,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.421052631578947,0.191919191919192,0.49863,0,0.0
18780,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.223684210526316,0.161616161616162,1.0,0,0.0
56688,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.539473684210526,0.15151515151515196,0.989041,0,0.0
55755,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.539473684210526,0.0606060606060606,0.5041100000000001,0,0.0
39047,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.40789473684210503,0.0101010101010101,0.323288,0,0.0
1463,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0526315789473684,0.212121212121212,1.0,0,0.0
17292,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.21052631578947398,0.12121212121212101,1.0,0,0.0
23777,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.289473684210526,0.111111111111111,3.213699,0,0.0
20290,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.25,0.111111111111111,0.578082,0,0.0
49613,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4868421052631579,0.0303030303030303,0.975342,0,0.0
58531,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5657894736842111,0.383838383838384,0.926027,0,0.0
45255,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.447368421052632,0.15151515151515196,6.29589,0,0.0
4638,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0921052631578947,0.0808080808080808,1.1698629999999999,0,0.0
59836,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.592105263157895,0.18181818181818202,0.967123,0,0.0
16457,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.197368421052632,0.141414141414141,0.073973,0,0.0
2408,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0657894736842105,0.101010101010101,0.219178,0,0.0
56381,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.539473684210526,0.0909090909090909,0.942466,0,0.0
6565,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.11842105263157901,0.0707070707070707,0.5041100000000001,0,0.0
47664,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.460526315789474,0.15151515151515196,0.5041100000000001,0,0.0
16392,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.197368421052632,0.18181818181818202,0.50137,0,0.0
57461,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5526315789473679,0.0707070707070707,2.479452,0,0.0
27177,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.328947368421053,0.161616161616162,3.2602740000000003,0,0.0
54930,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.526315789473684,0.26262626262626304,0.49863,0,0.0
1034,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0394736842105263,0.0101010101010101,0.465753,0,0.0
40382,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.421052631578947,0.131313131313131,1.00274,0,0.0
13170,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.171052631578947,0.141414141414141,0.44383599999999995,0,0.0
40073,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.421052631578947,0.0808080808080808,0.46849300000000005,0,0.0
55120,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.526315789473684,0.101010101010101,0.057534,0,0.0
47094,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.460526315789474,0.0202020202020202,2.923288,0,0.0
131,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.161616161616162,1.00274,0,0.0
40308,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.421052631578947,0.0101010101010101,0.205479,0,0.0
39320,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.40789473684210503,0.232323232323232,1.00274,0,0.0
28431,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.34210526315789497,0.0505050505050505,0.46301400000000004,0,0.0
31629,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.368421052631579,0.0,0.547945,0,0.0
56003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.539473684210526,0.0202020202020202,0.50137,0,0.0
30146,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.35526315789473706,0.17171717171717202,0.49863,0,0.0
4006,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0921052631578947,0.17171717171717202,0.978082,0,0.0
35665,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.381578947368421,0.131313131313131,1.846575,0,0.0
52425,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0.161616161616162,2.054795,0,0.0
34988,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.381578947368421,0.17171717171717202,2.216438,0,0.0
19742,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.23684210526315802,0.222222222222222,1.0,0,0.0
44402,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.447368421052632,0.0202020202020202,1.0,0,0.0
46109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460526315789474,0.0404040404040404,0.019178,0,0.0
17741,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.21052631578947398,0.131313131313131,1.0,0,0.0
3263,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0789473684210526,0.111111111111111,0.49863,0,0.0
62189,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6447368421052629,0.18181818181818202,1.0,0,0.0
18527,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.223684210526316,0.141414141414141,0.750685,0,0.0
62580,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.657894736842105,0.131313131313131,0.5041100000000001,0,0.0
23319,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.289473684210526,0.0202020202020202,0.087671,0,0.0
7447,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.11842105263157901,0.0404040404040404,0.46301400000000004,0,0.0
22016,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.263157894736842,0.111111111111111,0.983562,0,0.0
31564,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.35526315789473706,0.191919191919192,0.00274,0,0.0
18758,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.223684210526316,0.202020202020202,0.534247,0,0.0
25796,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.315789473684211,0.202020202020202,1.980822,0,0.0
5261,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.10526315789473699,0.101010101010101,1.320548,0,0.0
10836,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.144736842105263,0.0101010101010101,0.49863,0,0.0
42104,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.434210526315789,0.15151515151515196,1.0,0,0.0
38192,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.40789473684210503,0.25252525252525304,1.0,0,0.0
21870,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.263157894736842,0.15151515151515196,1.627397,0,0.0
